,Total Dioxin 100% Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,2.2518028052399e-157
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,2.6128370472717595e-219
BLOCK 1006,0.0
BLOCK 1007,4.908831824003835e-205
BLOCK 1008,3.880159444357084e-128
BLOCK 1011,1.6499432789171902e-13
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,2.0205035501183877e-16
BLOCK 3011,4.4198834701480125e-16
BLOCK 3012,1.0869524856934718e-14
BLOCK 3013,6.630563600672673e-17
BLOCK 3014,1.0441491893941846e-13
BLOCK 3015,8.674809842703005e-24
BLOCK 3017,1.948494150648802e-21
BLOCK 3025,4.2807064178356324e-97
BLOCK 3026,7.18199790108351e-62
BLOCK 3027,8.023233020162681e-26
BLOCK 3028,1.214210325234768e-20
BLOCK 3030,2.0616181143396345e-63
BLOCK 3031,1.9193832855626971e-25
BLOCK 4047,3.236380547948819e-122
BLOCK 4057,1.0009080966916861e-152
BLOCK 4000,3.6622698901717916e-218
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,3.93352264e-315
BLOCK 1002,6.978574130575471e-288
BLOCK 1003,2.2684513525496585e-295
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,1.4738395156268726e-159
BLOCK 1014,1.1622179418848058e-70
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.4955877657167618e-73
BLOCK 1056,1.1915276620009834e-81
BLOCK 1057,9.179721042679025e-88
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,2.9732857805404882e-154
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,3.5503523412979834e-17
BLOCK 2024,2.619982153555204e-14
BLOCK 3001,1.5025495946212925e-13
BLOCK 3002,1.1990241246672747e-12
BLOCK 3003,1.1337390589397403e-13
BLOCK 3004,1.268765848493499e-12
BLOCK 3005,4.860798510844445e-12
BLOCK 3006,1.0400970368422958e-12
BLOCK 3007,1.2989772354283096e-13
BLOCK 3008,9.001911493587e-17
BLOCK 3009,3.104991601081386e-16
BLOCK 3018,1.147919382361188e-21
BLOCK 3019,4.212441483021369e-31
BLOCK 3020,7.854913516056498e-49
BLOCK 3021,1.0356371800573305e-41
BLOCK 3022,2.914731486186699e-46
BLOCK 3023,8.406848277701372e-60
BLOCK 3024,1.257833627859857e-80
BLOCK 3029,1.6223800820303531e-68
BLOCK 2030,2.4000242593473134e-15
BLOCK 3000,5.074726960780702e-19
BLOCK 3016,6.519882742633897e-28
BLOCK 3032,1.4807083446021978e-44
BLOCK 3033,1.027862791605622e-31
BLOCK 3034,2.7890672751316743e-80
BLOCK 3035,7.400541368432805e-90
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,1.3616343594667927e-25
BLOCK 4004,2.3954839511999593e-32
BLOCK 4005,7.004507976232806e-235
BLOCK 4006,9.594214530548185e-176
BLOCK 4007,8.352481375637127e-207
BLOCK 4008,1.3975557896066755e-50
BLOCK 4009,6.52032768412247e-48
BLOCK 4010,3.8045635010957605e-42
BLOCK 4011,3.2471050556117107e-37
BLOCK 4012,4.666729481147036e-47
BLOCK 4013,8.776994754567065e-79
BLOCK 4014,9.358740914445839e-61
BLOCK 4015,1.4136875535203251e-58
BLOCK 4016,0.0
BLOCK 4017,3.769422626378502e-58
BLOCK 4018,0.0
BLOCK 4019,7.91951114781517e-88
BLOCK 4020,5.983052825499286e-45
BLOCK 4021,6.597804986560862e-79
BLOCK 4022,0.0
BLOCK 4023,6.706461695546292e-152
BLOCK 4024,1.187779558723578e-156
BLOCK 4025,1.755787035348399e-172
BLOCK 4026,1.4606169099161276e-158
BLOCK 4027,1.3998085437029963e-155
BLOCK 4028,1.2481833205119589e-148
BLOCK 4029,1.3357027798517846e-125
BLOCK 4030,1.6347177319227257e-144
BLOCK 4031,2.7499650723227194e-123
BLOCK 4032,9.981153005171043e-175
BLOCK 4033,2.2205975695497236e-133
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,6.858511916002013e-168
BLOCK 4035,1.618564100834593e-173
BLOCK 4036,2.2139986853622553e-169
BLOCK 4037,2.6268735575755723e-176
BLOCK 4038,2.3934564006600023e-215
BLOCK 4039,2.0528281674650218e-225
BLOCK 4040,2.1252566613579242e-267
BLOCK 4041,9.719253939711936e-179
BLOCK 4042,7.858446713868832e-208
BLOCK 4043,6.001049012114634e-181
BLOCK 4044,7.919285857341387e-157
BLOCK 4045,1.3287308618645894e-141
BLOCK 4046,4.5536056581239256e-138
BLOCK 4048,3.202447856782716e-102
BLOCK 4049,2.1653420598214036e-105
BLOCK 4050,6.893758585284226e-98
BLOCK 4051,1.7592863690923538e-127
BLOCK 4052,8.484662729522482e-134
BLOCK 4053,8.13279891857311e-136
BLOCK 4054,2.877304850673048e-141
BLOCK 4055,1.6132879799159712e-143
BLOCK 4056,6.952817180706287e-158
BLOCK 4058,3.8476621873543573e-143
BLOCK 4059,1.4325547401793503e-142
BLOCK 4061,2.51460476405293e-181
BLOCK 4062,3.567005144589498e-175
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,2.7520450608768137e-12
BLOCK 2032,2.2222911663798453e-11
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,9.044456141776662e-23
BLOCK 2058,2.7555734863202464e-13
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,1.617525841672741e-170
BLOCK 4064,3.8121478928316164e-161
BLOCK 4065,1.0187454970659198e-266
