,ethyl_acryl_100 Cumulative Hazard Index PAC1
BLOCK 1030,5.858521203553381e-06
BLOCK 1033,2.9703750152840737e-06
BLOCK 1035,2.2007005188636195e-06
BLOCK 1037,2.2070898600410625e-06
BLOCK 1038,2.8025234247235518e-06
BLOCK 2009,5.889040562868452e-06
BLOCK 2013,3.341303175139108e-05
BLOCK 2008,5.899000755532845e-06
BLOCK 1009,2.051964264362191e-05
BLOCK 1016,2.1846612237773883e-05
BLOCK 1020,6.0848888654464504e-06
BLOCK 1026,5.9351398287577355e-06
BLOCK 1027,3.6710775218256458e-06
BLOCK 1028,8.039436224710656e-06
BLOCK 1029,1.3496533559980263e-05
BLOCK 1039,3.6175172245235798e-06
BLOCK 1040,5.977263259660941e-06
BLOCK 1052,1.1447132269384185e-05
BLOCK 1054,1.4975815491010428e-05
BLOCK 2025,2.6745239614056055e-06
BLOCK 2028,1.5014904499680953e-05
BLOCK 2029,1.572635513102672e-05
BLOCK 1005,1.3014614063018852e-05
BLOCK 1006,3.184518839331569e-05
BLOCK 1007,2.6912052003137727e-05
BLOCK 1008,3.0192822117805803e-05
BLOCK 1011,9.950035768963339e-06
BLOCK 1024,6.024066720276751e-06
BLOCK 1025,6.524523129988457e-06
BLOCK 3010,0.00010277416312222373
BLOCK 3011,9.547040969992449e-05
BLOCK 3012,4.9055401660312775e-05
BLOCK 3013,2.876943330994764e-05
BLOCK 3014,2.153750355028458e-05
BLOCK 3015,8.013674835322591e-06
BLOCK 3017,1.1041311894365693e-05
BLOCK 3025,1.2174000967521182e-05
BLOCK 3026,3.1941297403187363e-06
BLOCK 3027,3.5434292105440435e-05
BLOCK 3028,0.00012497318308592908
BLOCK 3030,4.326240321600351e-06
BLOCK 3031,1.0889123822692939e-05
BLOCK 4047,1.532018751643934e-05
BLOCK 4057,1.5656924027061406e-05
BLOCK 4000,8.694680531949118e-13
BLOCK 4001,4.2660620698482265e-05
BLOCK 1000,4.334726775592013e-06
BLOCK 1001,4.336105098148694e-06
BLOCK 1002,5.930590588630334e-06
BLOCK 1003,7.846797890074497e-06
BLOCK 1004,1.6434857631209233e-05
BLOCK 1010,2.7626711836137357e-05
BLOCK 1017,1.0314261746268914e-05
BLOCK 1018,7.0213504919952064e-06
BLOCK 1019,5.9916187562399714e-06
BLOCK 2000,9.854984296152863e-06
BLOCK 2001,1.2561121952222447e-05
