,ethyl_acryl_50 Cumulative Hazard Index PAC2
BLOCK 1030,3.7812432108694227e-07
BLOCK 1033,1.8972387069575987e-07
BLOCK 1035,1.3964025432998293e-07
BLOCK 1037,1.3918280650480307e-07
BLOCK 1038,1.7885821557449492e-07
BLOCK 2009,3.797584945444621e-07
BLOCK 2013,2.1369582226875196e-06
BLOCK 2008,3.806326387850944e-07
BLOCK 1009,1.3596611423816211e-06
BLOCK 1016,1.4024186334825598e-06
BLOCK 1020,3.9258316462546324e-07
BLOCK 1026,3.8277549258927986e-07
BLOCK 1027,2.353152301495999e-07
BLOCK 1028,5.180836808182196e-07
BLOCK 1029,8.856329159376867e-07
BLOCK 1039,2.3103101288251663e-07
BLOCK 1040,3.8422953982676765e-07
BLOCK 1052,7.373575321213488e-07
BLOCK 1054,9.653990061499508e-07
BLOCK 2025,1.7062489600926718e-07
BLOCK 2028,9.638988019237343e-07
BLOCK 2029,1.01066130873474e-06
BLOCK 1005,8.240777108562263e-07
BLOCK 1006,2.1308125739972637e-06
BLOCK 1007,1.7619716425200923e-06
BLOCK 1008,2.018099295582774e-06
BLOCK 1011,6.313421460001126e-07
BLOCK 1024,3.8860242253094706e-07
BLOCK 1025,4.215353217997392e-07
BLOCK 3010,6.800890299218923e-06
BLOCK 3011,6.2851043431328355e-06
BLOCK 3012,3.1384452554235866e-06
BLOCK 3013,1.8608251828851695e-06
BLOCK 3014,1.3657229844999757e-06
BLOCK 3015,4.910386330756796e-07
BLOCK 3017,7.068692510115635e-07
BLOCK 3025,7.939878951021714e-07
BLOCK 3026,2.0244883789098835e-07
BLOCK 3027,2.3892347102260784e-06
BLOCK 3028,8.295005551712118e-06
BLOCK 3030,2.739021455953596e-07
BLOCK 3031,6.351880860971377e-07
BLOCK 4047,1.0007610460484638e-06
BLOCK 4057,1.0290515553992144e-06
BLOCK 4000,1.0616914388663296e-14
BLOCK 4001,2.8567288884298835e-06
BLOCK 1000,2.7797981466709643e-07
BLOCK 1001,2.7630278073743523e-07
BLOCK 1002,3.75852508344385e-07
BLOCK 1003,4.985496269305152e-07
