,ethyl_acryl_80 Cumulative Hazard Index PAC3
BLOCK 1030,4.784861155195635e-07
BLOCK 1033,2.4008039908566704e-07
BLOCK 1035,1.767035843461504e-07
BLOCK 1037,1.7612472067429245e-07
BLOCK 1038,2.2633078071516838e-07
BLOCK 2009,4.805540314566446e-07
BLOCK 2013,2.7041498839907608e-06
BLOCK 2008,4.816601911474612e-07
BLOCK 1009,1.7205425363037814e-06
BLOCK 1016,1.7746487248912799e-06
BLOCK 1020,4.967826267298568e-07
BLOCK 1026,4.843718014187706e-07
BLOCK 1027,2.977726216425654e-07
BLOCK 1028,6.555935022539535e-07
BLOCK 1029,1.1206976914501393e-06
BLOCK 1039,2.923512870077665e-07
BLOCK 1040,4.862117820168113e-07
BLOCK 1052,9.330670407014441e-07
BLOCK 1054,1.2216353051591333e-06
BLOCK 2025,2.1591217266247132e-07
BLOCK 2028,1.219736916579881e-06
BLOCK 2029,1.2789111325404874e-06
BLOCK 1005,1.0428044977915757e-06
BLOCK 1006,2.6963730566216678e-06
BLOCK 1007,2.22963432889368e-06
BLOCK 1008,2.5537434087825802e-06
BLOCK 1011,7.989130403857819e-07
BLOCK 1024,4.917453156777267e-07
BLOCK 1025,5.334192683042711e-07
BLOCK 3010,8.605983270247556e-06
BLOCK 3011,7.953297355049761e-06
BLOCK 3012,3.9714517032961395e-06
BLOCK 3013,2.3547255856493275e-06
BLOCK 3014,1.7282133131524297e-06
BLOCK 3015,6.213701552839143e-07
BLOCK 3017,8.94486557025717e-07
BLOCK 3025,1.004728240185425e-06
BLOCK 3026,2.5618282832337446e-07
BLOCK 3027,3.0233856216239655e-06
BLOCK 3028,1.0496666739771382e-05
BLOCK 3030,3.466012799749611e-07
BLOCK 3031,8.03779770281009e-07
BLOCK 4047,1.2663831411598656e-06
BLOCK 4057,1.302182520280465e-06
BLOCK 4000,1.343485684822479e-14
BLOCK 4001,3.6149621505119766e-06
BLOCK 1000,3.5176124437212315e-07
BLOCK 1001,3.4963909193217557e-07
BLOCK 1002,4.756113180157968e-07
BLOCK 1003,6.308747178652384e-07
BLOCK 1004,1.3353203116724004e-06
BLOCK 1010,2.2555901417225155e-06
BLOCK 1017,8.507361513529982e-07
BLOCK 1018,5.74404808517207e-07
BLOCK 1019,4.890674954868141e-07
BLOCK 2000,8.005828681633661e-07
BLOCK 2001,1.0255667241518283e-06
BLOCK 2002,1.0856342123475167e-06
BLOCK 2003,1.008230547748667e-06
BLOCK 2004,4.67630824615861e-07
BLOCK 2005,3.176549616124427e-07
BLOCK 2006,2.9946130340486076e-07
BLOCK 2007,3.168031602460255e-07
BLOCK 2010,4.0489958390272145e-07
BLOCK 2011,1.0357198000115414e-06
BLOCK 2012,1.8859551988919358e-06
BLOCK 2026,3.4732027320164673e-07
BLOCK 2027,4.045224052134185e-07
BLOCK 2051,1.261467587887537e-06
BLOCK 2054,1.2806547666591595e-06
