,Total Dioxin 80% Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.6657705973466898e-191
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,1.9832774575582258e-281
BLOCK 1006,0.0
BLOCK 1007,4.429029180053908e-283
BLOCK 1008,3.255385021032227e-158
BLOCK 1011,9.698592143188384e-16
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,3.950370336696177e-19
BLOCK 3011,9.529467037578457e-19
BLOCK 3012,3.471605941501931e-17
BLOCK 3013,1.4341600935144614e-19
BLOCK 3014,4.537852559733689e-16
BLOCK 3015,6.569508980552167e-27
BLOCK 3017,3.347000116049394e-24
BLOCK 3025,2.8650622975686806e-110
BLOCK 3026,9.27538510495388e-70
BLOCK 3027,1.0097654175930691e-29
BLOCK 3028,5.7610204589052674e-24
BLOCK 3030,8.349304945328202e-73
BLOCK 3031,1.889755318044807e-29
BLOCK 4047,3.737658766475012e-140
BLOCK 4057,3.279840079783964e-179
BLOCK 4000,7.738652057709531e-278
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,3.078177457471589e-243
BLOCK 1014,2.2210827960892e-92
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,5.6482647837745404e-83
BLOCK 1056,7.349568011696121e-91
BLOCK 1057,1.3332018966880967e-100
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,1.0540408448948766e-283
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.51595010282921e-19
BLOCK 2024,1.4292382571382363e-16
BLOCK 3001,7.549548435937137e-16
BLOCK 3002,6.691339918004455e-15
BLOCK 3003,5.32496979420742e-16
BLOCK 3004,6.378986610426501e-15
BLOCK 3005,2.7798109971989586e-14
BLOCK 3006,5.538429926500726e-15
BLOCK 3007,5.548492748053135e-16
BLOCK 3008,1.6001627215610926e-19
BLOCK 3009,6.4185148037465515e-19
BLOCK 3018,1.936280982012912e-24
BLOCK 3019,1.794582492096119e-35
BLOCK 3020,5.401497245282246e-55
BLOCK 3021,1.0426390475230503e-46
BLOCK 3022,1.349652833659846e-51
BLOCK 3023,2.3588340252768424e-66
BLOCK 3024,3.2834452189453347e-91
BLOCK 3029,7.181583382138903e-78
BLOCK 2030,1.0511891640148365e-17
BLOCK 3000,1.3170836660580771e-21
BLOCK 3016,3.6474353879638057e-31
BLOCK 3032,3.408934075887796e-52
BLOCK 3033,1.9850320480925552e-37
BLOCK 3034,5.180097423855147e-91
BLOCK 3035,4.496411652378338e-105
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,1.8499699570405167e-28
BLOCK 4004,1.2462642063704596e-35
BLOCK 4005,8.385728413383475e-277
BLOCK 4006,3.1893051087118236e-199
BLOCK 4007,1.2878310510657325e-232
BLOCK 4008,8.172503088197374e-55
BLOCK 4009,3.537536819703335e-52
BLOCK 4010,4.655623089434471e-46
BLOCK 4011,6.430414325810037e-41
BLOCK 4012,1.9770309638388845e-51
BLOCK 4013,2.9351731134762477e-85
BLOCK 4014,5.787821111033934e-66
BLOCK 4015,1.5209944822541793e-63
BLOCK 4016,0.0
BLOCK 4017,3.1534298679719785e-63
BLOCK 4018,0.0
BLOCK 4019,8.46949532405577e-96
BLOCK 4020,2.3711848574671107e-49
BLOCK 4021,5.758435939958927e-87
BLOCK 4022,0.0
BLOCK 4023,3.0518689004325637e-166
BLOCK 4024,5.372839409544621e-172
BLOCK 4025,2.9328774900290734e-191
BLOCK 4026,9.416628483063281e-177
BLOCK 4027,8.196584243754796e-175
BLOCK 4028,4.520390311229222e-166
BLOCK 4029,2.0218379074855143e-139
BLOCK 4030,1.9925308237411194e-159
BLOCK 4031,2.9852085703966457e-139
BLOCK 4032,8.266948518268025e-200
BLOCK 4033,2.766269694607605e-152
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,2.796904566494839e-193
BLOCK 4035,1.248294234109573e-197
BLOCK 4036,1.7553583903818146e-192
BLOCK 4037,1.4929964999231867e-199
BLOCK 4038,3.4779176866437632e-245
BLOCK 4039,7.538065550764291e-253
BLOCK 4040,3.935817185152219e-301
BLOCK 4041,4.191402766871701e-207
BLOCK 4042,1.1975406385469075e-240
BLOCK 4043,3.8726645132888134e-212
BLOCK 4044,5.145349578318959e-182
BLOCK 4045,2.0388740393988167e-164
BLOCK 4046,2.4248727745611216e-158
BLOCK 4048,2.9880722453879176e-116
BLOCK 4049,1.730697534999479e-120
BLOCK 4050,5.863119525828316e-112
BLOCK 4051,8.827501148355567e-149
BLOCK 4052,2.3047813563283776e-155
BLOCK 4053,2.4063677514477465e-157
BLOCK 4054,2.7133425578186038e-163
BLOCK 4055,3.0804284003678816e-166
BLOCK 4056,1.701182022742843e-186
BLOCK 4058,3.9034928415681e-167
BLOCK 4059,4.306153641541778e-166
BLOCK 4061,2.5577380219513127e-215
BLOCK 4062,1.9168679271674418e-207
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.7678803594577194e-14
BLOCK 2032,1.611664593361852e-13
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,1.898754623702131e-25
BLOCK 2058,1.5590180453213462e-15
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,3.693271878370225e-202
BLOCK 4064,2.1977864083644965e-191
BLOCK 4065,5.213914390845377e-300
