,butyl_acryl Cumulative Hazard Index PAC2
BLOCK 1030,9.94234088743581e-07
BLOCK 1033,4.936796757014347e-07
BLOCK 1035,3.606501910834497e-07
BLOCK 1037,3.5927026999650306e-07
BLOCK 1038,4.66331437702397e-07
BLOCK 2009,9.947060771234086e-07
BLOCK 2013,5.479160840477455e-06
BLOCK 2008,1.00142447740947e-06
BLOCK 1009,3.4949754394402233e-06
BLOCK 1016,3.6297469302449894e-06
BLOCK 1020,1.0262371291383397e-06
BLOCK 1026,1.0022220703707327e-06
BLOCK 1027,6.06074356440464e-07
BLOCK 1028,1.3418124950500128e-06
BLOCK 1029,2.2911559415713986e-06
BLOCK 1039,6.057406603096572e-07
BLOCK 1040,9.86362466098388e-07
BLOCK 1052,1.89932545653926e-06
BLOCK 1054,2.4897816298805217e-06
BLOCK 2025,4.4539367575351223e-07
BLOCK 2028,2.477654879920788e-06
BLOCK 2029,2.5988971036283633e-06
BLOCK 1005,2.113355623095732e-06
BLOCK 1006,5.440368658396532e-06
BLOCK 1007,4.503573381161984e-06
BLOCK 1008,5.180182115051566e-06
BLOCK 1011,1.7200832463487064e-06
BLOCK 1024,1.0161375735122003e-06
BLOCK 1025,1.1060826275979793e-06
BLOCK 3010,1.8998920576514426e-05
BLOCK 3011,1.7572814592712467e-05
BLOCK 3012,8.687397275735616e-06
BLOCK 3013,5.0456843613114914e-06
BLOCK 3014,3.6968253344722794e-06
BLOCK 3015,1.3084299226410118e-06
BLOCK 3017,1.9206870807080224e-06
BLOCK 3025,2.0588161224367487e-06
BLOCK 3026,5.235350177249224e-07
BLOCK 3027,6.2760755751177104e-06
BLOCK 3028,2.255835178021339e-05
BLOCK 3030,7.05749549222702e-07
BLOCK 3031,1.6411422956165007e-06
BLOCK 4047,2.5900803928780433e-06
BLOCK 4057,2.654541934662093e-06
BLOCK 4000,2.8651603858804233e-14
BLOCK 4001,7.681303305054407e-06
BLOCK 1000,7.242183916991742e-07
BLOCK 1001,7.168805574714466e-07
BLOCK 1002,9.699511908363898e-07
BLOCK 1003,1.283132126417625e-06
BLOCK 1004,2.721172633768721e-06
BLOCK 1010,4.597483183757124e-06
BLOCK 1017,1.7472456825063892e-06
BLOCK 1018,1.1798778094746724e-06
BLOCK 1019,1.0090751706634287e-06
BLOCK 2000,1.6293255411694517e-06
BLOCK 2001,2.0874141443282458e-06
BLOCK 2002,2.209423344105269e-06
BLOCK 2003,2.051519910631045e-06
BLOCK 2004,9.691043009164097e-07
BLOCK 2005,6.553618429638422e-07
BLOCK 2006,6.17431260408822e-07
BLOCK 2007,6.532575451560084e-07
BLOCK 2010,8.364737625066531e-07
BLOCK 2011,2.1061291364081897e-06
BLOCK 2012,3.8185556805376604e-06
BLOCK 2026,7.225306101449274e-07
BLOCK 2027,8.422027418092999e-07
BLOCK 2051,2.5680899368414154e-06
BLOCK 2054,2.606385503324461e-06
BLOCK 2055,5.59240796102599e-06
