,ethyl_acryl_50 Cumulative Hazard Index PAC3
BLOCK 1030,2.9906196304149086e-07
BLOCK 1033,1.500543340957373e-07
BLOCK 1035,1.1044274660644107e-07
BLOCK 1037,1.1008094696288968e-07
BLOCK 1038,1.4146058868164594e-07
BLOCK 2009,3.0035444568516526e-07
BLOCK 2013,1.6901396852164917e-06
BLOCK 2008,3.010458143118474e-07
BLOCK 1009,1.0753683580654639e-06
BLOCK 1016,1.1091856464816608e-06
BLOCK 1020,3.104975938401392e-07
BLOCK 1026,3.027406168660668e-07
BLOCK 1027,1.861129547546836e-07
BLOCK 1028,4.097570930107737e-07
BLOCK 1029,7.004551244234434e-07
BLOCK 1039,1.827245283707177e-07
BLOCK 1040,3.0389063604480686e-07
BLOCK 1052,5.831827754050671e-07
BLOCK 1054,7.635428503185978e-07
BLOCK 2025,1.3494878138914756e-07
BLOCK 2028,7.623563251578624e-07
BLOCK 2029,7.993412169083858e-07
BLOCK 1005,6.517705531317428e-07
BLOCK 1006,1.6852790357978359e-06
BLOCK 1007,1.3935593899931635e-06
BLOCK 1008,1.5961330792336484e-06
BLOCK 1011,4.993342427455439e-07
BLOCK 1024,3.0734918872902196e-07
BLOCK 1025,3.333961181507028e-07
BLOCK 3010,5.378885963927694e-06
BLOCK 3011,4.970946162295971e-06
BLOCK 3012,2.482224883835017e-06
BLOCK 3013,1.4717435537364523e-06
BLOCK 3014,1.0801627241045261e-06
BLOCK 3015,3.883669188871286e-07
BLOCK 3017,5.590693167091456e-07
BLOCK 3025,6.279722443080811e-07
BLOCK 3026,1.6011862633196351e-07
BLOCK 3027,1.8896674526333534e-06
BLOCK 3028,6.560595299990494e-06
BLOCK 3030,2.1663169697087526e-07
BLOCK 3031,5.023760317313725e-07
BLOCK 4047,7.915110091474214e-07
BLOCK 4057,8.138862301793787e-07
BLOCK 4000,8.397014107397334e-15
BLOCK 4001,2.259412848121817e-06
BLOCK 1000,2.198567625094308e-07
BLOCK 1001,2.185303811286988e-07
BLOCK 1002,2.972651656905591e-07
BLOCK 1003,3.9430743220868043e-07
BLOCK 1004,8.345979135973399e-07
BLOCK 1010,1.40978221461682e-06
BLOCK 1017,5.317245688053581e-07
BLOCK 1018,3.590127781014041e-07
BLOCK 1019,3.056755055499458e-07
BLOCK 2000,5.003779135165616e-07
BLOCK 2001,6.409966513277802e-07
BLOCK 2002,6.785398534231374e-07
BLOCK 2003,6.301612461224828e-07
BLOCK 2004,2.922772215375028e-07
BLOCK 2005,1.9853975550896102e-07
BLOCK 2006,1.8716840958692266e-07
BLOCK 2007,1.9800736516261715e-07
BLOCK 2010,2.530691287983253e-07
BLOCK 2011,6.473424964819643e-07
BLOCK 2012,1.178754086472271e-06
BLOCK 2026,2.1708107997032275e-07
BLOCK 2027,2.528333857002882e-07
BLOCK 2051,7.88438704720235e-07
BLOCK 2054,8.004310178983071e-07
BLOCK 2055,1.7270100648119529e-06
BLOCK 2056,1.6503501364285945e-06
BLOCK 5030,7.608631986455779e-17
BLOCK 5031,1.2111641585949994e-13
BLOCK 1012,1.0754718668095836e-06
BLOCK 1013,5.029556455200497e-06
BLOCK 1014,6.236439886208778e-06
BLOCK 1015,1.159926442888696e-06
BLOCK 1021,2.775483309751663e-07
BLOCK 1022,2.753491639342104e-07
BLOCK 1023,2.594313345218021e-07
BLOCK 1031,2.267715914369604e-07
BLOCK 1032,2.1853675098341755e-07
BLOCK 1034,4.081516860911691e-07
BLOCK 1036,1.2368784279589873e-07
BLOCK 1048,4.0893145031669944e-07
BLOCK 1049,3.5127043641643955e-07
BLOCK 1050,2.405328630772323e-07
BLOCK 1051,7.862844385079471e-07
BLOCK 1053,7.057830284473321e-07
BLOCK 1055,5.936161357786861e-17
BLOCK 1056,1.8681726195798905e-19
BLOCK 1057,7.684470865162577e-20
BLOCK 1058,7.580851200968869e-07
BLOCK 1059,1.0804026110305924e-07
BLOCK 1060,2.711310214627394e-06
BLOCK 1061,3.0504653515121352e-06
BLOCK 1062,6.093724542588662e-06
BLOCK 1063,1.2778017450927208e-06
BLOCK 1064,1.1541323335982676e-06
BLOCK 1065,9.120101988727271e-07
BLOCK 1066,3.2271495814666132e-06
BLOCK 1067,7.196651944770968e-07
BLOCK 3039,4.987077356510206e-06
