,butyl_acryl Cumulative Hazard Index PAC1
BLOCK 1030,1.5722771635945003e-05
BLOCK 1033,7.807027429697111e-06
BLOCK 1035,5.703305347366182e-06
BLOCK 1037,5.6814833394795845e-06
BLOCK 1038,7.37454366599139e-06
BLOCK 2009,1.5730235638230645e-05
BLOCK 2013,8.664719468662014e-05
BLOCK 2008,1.5836480107870684e-05
BLOCK 1009,5.5269379042310494e-05
BLOCK 1016,5.7400649129455645e-05
BLOCK 1020,1.62288662282342e-05
BLOCK 1026,1.5849093205862743e-05
BLOCK 1027,9.584431683244547e-06
BLOCK 1028,2.1219360386837412e-05
BLOCK 1029,3.623223349461746e-05
BLOCK 1039,9.579154628152714e-06
BLOCK 1040,1.5598290161555894e-05
BLOCK 1052,3.0035844428992953e-05
BLOCK 1054,3.937329089113387e-05
BLOCK 2025,7.043434872381123e-06
BLOCK 2028,3.918151903130551e-05
BLOCK 2029,4.109883791784387e-05
BLOCK 1005,3.3420507528025535e-05
BLOCK 1006,8.603373692348006e-05
BLOCK 1007,7.121929998116623e-05
BLOCK 1008,8.191915902872245e-05
BLOCK 1011,2.7201316453886522e-05
BLOCK 1024,1.606915232530921e-05
BLOCK 1025,1.7491539227130838e-05
BLOCK 3010,0.0003004480463262747
BLOCK 3011,0.00027789567262894127
BLOCK 3012,0.0001373820964534935
BLOCK 3013,7.97922178067864e-05
BLOCK 3014,5.846142389398021e-05
BLOCK 3015,2.069144993943927e-05
BLOCK 3017,3.0373656160033834e-05
BLOCK 3025,3.255802240132534e-05
BLOCK 3026,8.279158419835984e-06
BLOCK 3027,9.92495672344196e-05
BLOCK 3028,0.0003567367258266301
BLOCK 3030,1.1160690545847385e-05
BLOCK 3031,2.5952947930679533e-05
BLOCK 4047,4.0959410864117893e-05
BLOCK 4057,4.197880268767963e-05
BLOCK 4000,4.530951307903925e-13
BLOCK 4001,0.00012147177319620924
BLOCK 1000,1.1452755961754388e-05
BLOCK 1001,1.1336715792571709e-05
BLOCK 1002,1.5338763017877787e-05
BLOCK 1003,2.0291391766604298e-05
BLOCK 1004,4.303249746424951e-05
BLOCK 1010,7.270438523150802e-05
BLOCK 1017,2.7630861955914984e-05
BLOCK 1018,1.8658532800994808e-05
BLOCK 1019,1.5957467815142595e-05
BLOCK 2000,2.5766078325470394e-05
BLOCK 2001,3.3010270189376905e-05
BLOCK 2002,3.4939717999804284e-05
BLOCK 2003,3.244264044718859e-05
BLOCK 2004,1.5325370340073468e-05
BLOCK 2005,1.0363861702684014e-05
BLOCK 2006,9.764029234372066e-06
BLOCK 2007,1.0330584435025248e-05
BLOCK 2010,1.322795717452382e-05
BLOCK 2011,3.3306228203664396e-05
BLOCK 2012,6.038646192478161e-05
BLOCK 2026,1.1426065462756986e-05
BLOCK 2027,1.3318554986751717e-05
BLOCK 2051,4.0611654815166555e-05
BLOCK 2054,4.121725912234028e-05
BLOCK 2055,8.843807938366674e-05
BLOCK 2056,8.48333100720073e-05
BLOCK 5030,4.366851613076128e-15
BLOCK 5031,6.5099422858721325e-12
BLOCK 1012,5.5751241219862914e-05
BLOCK 1013,0.00025748414376043595
BLOCK 1014,0.0003219724682562031
BLOCK 1015,6.0045135189027174e-05
