,butyl_acryl Cumulative Hazard Index PAC3
BLOCK 1030,2.70431672138254e-07
BLOCK 1033,1.3428087179079027e-07
BLOCK 1035,9.809685197469835e-08
BLOCK 1037,9.772151343904881e-08
BLOCK 1038,1.26842151055052e-07
BLOCK 2009,2.70560052977567e-07
BLOCK 2013,1.4903317486098672e-06
BLOCK 2008,2.7238745785537586e-07
BLOCK 1009,9.506333195277407e-07
BLOCK 1016,9.87291165026637e-07
BLOCK 1020,2.791364991256283e-07
BLOCK 1026,2.7260440314083927e-07
BLOCK 1027,1.648522249518062e-07
BLOCK 1028,3.6497299865360343e-07
BLOCK 1029,6.231944161074201e-07
BLOCK 1039,1.647614596042268e-07
BLOCK 1040,2.682905907787615e-07
BLOCK 1052,5.166165241786789e-07
BLOCK 1054,6.772206033275019e-07
BLOCK 2025,1.2114707980495538e-07
BLOCK 2028,6.739221273384547e-07
BLOCK 2029,7.069000121869151e-07
BLOCK 1005,5.748327294820392e-07
BLOCK 1006,1.4797802750838568e-06
BLOCK 1007,1.224971959676059e-06
BLOCK 1008,1.4090095352940267e-06
BLOCK 1011,4.6786264300684806e-07
BLOCK 1024,2.7638941999531846e-07
BLOCK 1025,3.008544747066504e-07
BLOCK 3010,5.167706396811925e-06
BLOCK 3011,4.77980556921779e-06
BLOCK 3012,2.3629720590000873e-06
BLOCK 3013,1.3724261462767256e-06
BLOCK 3014,1.00553649097646e-06
BLOCK 3015,3.5589293895835553e-07
BLOCK 3017,5.224268859525821e-07
BLOCK 3025,5.599979853027958e-07
BLOCK 3026,1.424015248211789e-07
BLOCK 3027,1.7070925564320171e-06
BLOCK 3028,6.13587168421804e-06
BLOCK 3030,1.919638773885749e-07
BLOCK 3031,4.4639070440768794e-07
BLOCK 4047,7.045018668628277e-07
BLOCK 4057,7.220354062280893e-07
BLOCK 4000,7.79323624959475e-15
BLOCK 4001,2.0893144989747985e-06
BLOCK 1000,1.9698740254217548e-07
BLOCK 1001,1.9499151163223342e-07
BLOCK 1002,2.63826723907498e-07
BLOCK 1003,3.49011938385594e-07
BLOCK 1004,7.401589563850918e-07
BLOCK 1010,1.250515425981938e-06
BLOCK 1017,4.752508256417377e-07
BLOCK 1018,3.2092676417711085e-07
BLOCK 1019,2.7446844642045257e-07
BLOCK 2000,4.431765471980909e-07
BLOCK 2001,5.677766472572831e-07
BLOCK 2002,6.009631495966336e-07
BLOCK 2003,5.580134156916443e-07
BLOCK 2004,2.6359636984926346e-07
BLOCK 2005,1.7825842128616502e-07
BLOCK 2006,1.6794130283119967e-07
BLOCK 2007,1.7768605228243435e-07
BLOCK 2010,2.2752086340180964e-07
BLOCK 2011,5.728671251030276e-07
BLOCK 2012,1.0386471451062443e-06
BLOCK 2026,1.9652832595942015e-07
BLOCK 2027,2.2907914577212954e-07
BLOCK 2051,6.985204628208644e-07
BLOCK 2054,7.089368569042522e-07
BLOCK 2055,1.5211349653990694e-06
BLOCK 2056,1.459132933238525e-06
BLOCK 5030,7.510984774490939e-17
BLOCK 5031,1.1197100731700069e-13
