,Total Phosgene 0.07 Cumulative Hazard Index PAC2
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.0013989902128963e-190
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,1.3734211129766407e-280
BLOCK 1006,0.0
BLOCK 1007,3.819484123591423e-282
BLOCK 1008,2.051236618020961e-157
BLOCK 1011,1.3894537429889244e-08
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,3.614947612578439e-18
BLOCK 3011,8.95824802119459e-18
BLOCK 3012,1.8341633943464945e-16
BLOCK 3013,6.453298938329578e-19
BLOCK 3014,2.00782192476434e-15
BLOCK 3015,2.916778126665268e-26
BLOCK 3017,1.4435295372377313e-23
BLOCK 3025,1.4236515494495902e-109
BLOCK 3026,4.463452837911834e-69
BLOCK 3027,4.9189635387092165e-29
BLOCK 3028,3.572857413100226e-23
BLOCK 3030,4.2460727341658743e-72
BLOCK 3031,9.480366133499684e-29
BLOCK 4047,1.911810692794402e-139
BLOCK 4057,1.7851226357606117e-178
BLOCK 4000,2.0475827081056982e-111
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,3.849852505369622e-242
BLOCK 1014,1.8479992671757014e-91
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.271348625505647e-40
BLOCK 1056,1.820530304464903e-43
BLOCK 1057,5.631481159610419e-49
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,3.03712769502663e-282
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,6.360498135651148e-19
BLOCK 2024,6.005383383097773e-16
BLOCK 3001,3.236360041816834e-15
BLOCK 3002,2.8841236376288916e-14
BLOCK 3003,2.3042975962737315e-15
BLOCK 3004,4.71924063263162e-14
BLOCK 3005,4.4876541288520787e-13
BLOCK 3006,1.2433250239406792e-12
BLOCK 3007,3.479914700471504e-14
BLOCK 3008,1.0383809357297192e-18
BLOCK 3009,5.03098088008733e-18
BLOCK 3018,8.345189596098294e-24
BLOCK 3019,8.583179057253386e-35
BLOCK 3020,2.5615331498445142e-54
BLOCK 3021,4.8059598969915805e-46
BLOCK 3022,6.193613160803362e-51
BLOCK 3023,1.0831406992008304e-65
BLOCK 3024,1.6080919590434106e-90
BLOCK 3029,3.549069732710807e-77
BLOCK 2030,4.4641403216559865e-17
BLOCK 3000,5.639369225198089e-21
BLOCK 3016,1.5918526314492393e-30
BLOCK 3032,1.852123786220935e-51
BLOCK 3033,1.1385735413828314e-36
BLOCK 3034,2.551800159342553e-90
BLOCK 3035,2.4248154157035482e-104
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,7.873282017256594e-28
BLOCK 4004,5.33708732456394e-35
BLOCK 4005,2.801324978604855e-110
BLOCK 4006,3.270726412007773e-86
BLOCK 4007,6.615928948771895e-98
BLOCK 4008,3.499234292676487e-54
BLOCK 4009,1.5263773231817426e-51
BLOCK 4010,2.005898327717037e-45
BLOCK 4011,2.782124828045392e-40
BLOCK 4012,8.594029661706185e-51
BLOCK 4013,1.2819771479931245e-84
BLOCK 4014,2.51637655464498e-65
BLOCK 4015,6.586529490092052e-63
BLOCK 4016,0.0
BLOCK 4017,1.3724126235205011e-62
BLOCK 4018,4.668533795738083e-141
BLOCK 4019,3.783421079154721e-95
BLOCK 4020,1.0391984417212176e-48
BLOCK 4021,2.629041969509012e-86
BLOCK 4022,0.0
BLOCK 4023,1.3931304576948482e-165
BLOCK 4024,2.4725199994274326e-171
BLOCK 4025,1.383729190543333e-190
BLOCK 4026,4.494679480911424e-176
BLOCK 4027,3.988722681278589e-174
BLOCK 4028,2.1681936253018496e-165
BLOCK 4029,9.515414306844702e-139
BLOCK 4030,9.261209575753495e-159
BLOCK 4031,1.467514086910367e-138
BLOCK 4032,4.208993133387177e-199
BLOCK 4033,1.3997529865621253e-151
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,1.448207436095558e-192
BLOCK 4035,6.291049335082714e-197
BLOCK 4036,8.794475905254938e-192
BLOCK 4037,7.408018430946196e-199
BLOCK 4038,1.753680950632716e-244
BLOCK 4039,3.6664489776319946e-252
BLOCK 4040,1.934908794246348e-300
BLOCK 4041,2.2071977301332788e-206
BLOCK 4042,6.297578826477068e-240
BLOCK 4043,2.102442220533262e-211
BLOCK 4044,2.7202407705721e-181
BLOCK 4045,1.0788691337367354e-163
BLOCK 4046,1.2417407512787363e-157
BLOCK 4048,1.4915411741752274e-115
BLOCK 4049,8.766335509980559e-120
BLOCK 4050,2.9704812935856057e-111
BLOCK 4051,4.735138120185982e-148
BLOCK 4052,1.2195787118797551e-154
BLOCK 4053,1.2655782537465636e-156
BLOCK 4054,1.4187593768359318e-162
BLOCK 4055,1.6196181003291184e-165
BLOCK 4056,9.424400509551453e-186
BLOCK 4058,2.0966565433541342e-166
BLOCK 4059,2.2989631176256422e-165
BLOCK 4061,1.4362100476043889e-214
BLOCK 4062,1.0687007934467977e-206
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,7.463174116257896e-14
BLOCK 2032,6.778241906552346e-13
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,8.035363754380494e-25
BLOCK 2058,6.59781861563297e-15
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,2.0655894645585553e-201
BLOCK 4064,1.2353927346343426e-190
BLOCK 4065,2.555944075649136e-299
