,ethyl_acryl_80 Cumulative Hazard Index PAC2
BLOCK 1030,6.049824449097928e-07
BLOCK 1033,3.0354992987842944e-07
BLOCK 1035,2.2341832503536263e-07
BLOCK 1037,2.2268642843876058e-07
BLOCK 1038,2.861653549272245e-07
BLOCK 2009,6.075970512670223e-07
BLOCK 2013,3.4190400832067095e-06
BLOCK 2008,6.08995643979549e-07
BLOCK 1009,2.1753986091197246e-06
BLOCK 1016,2.243808732621158e-06
BLOCK 1020,6.281159648308532e-07
BLOCK 1026,6.124241167363765e-07
BLOCK 1027,3.764941193181861e-07
BLOCK 1028,8.289113246889065e-07
BLOCK 1029,1.416974092638107e-06
BLOCK 1039,3.6963955828568167e-07
BLOCK 1040,6.147505289867731e-07
BLOCK 1052,1.1797399365190679e-06
BLOCK 1054,1.5445963628448793e-06
BLOCK 2025,2.7299240221691777e-07
BLOCK 2028,1.5421961014228403e-06
BLOCK 2029,1.617014075625904e-06
BLOCK 1005,1.3184884454836015e-06
BLOCK 1006,3.4092073129699245e-06
BLOCK 1007,2.8190778871069516e-06
BLOCK 1008,3.228870976621653e-06
BLOCK 1011,1.0101199361199538e-06
BLOCK 1024,6.217469508568962e-07
BLOCK 1025,6.744381553272394e-07
BLOCK 3010,1.0881128272726796e-05
BLOCK 3011,1.005589320753418e-05
BLOCK 3012,5.021375716811211e-06
BLOCK 3013,2.97723924622329e-06
BLOCK 3014,2.185097292491578e-06
BLOCK 3015,7.856404262210404e-07
BLOCK 3017,1.1309600146302178e-06
BLOCK 3025,1.2703460508091586e-06
BLOCK 3026,3.2390932316748507e-07
BLOCK 3027,3.822671475616509e-06
BLOCK 3028,1.3271647602009797e-05
BLOCK 3030,4.382315034166173e-07
BLOCK 3031,1.0162732727690923e-06
BLOCK 4047,1.6011740865239683e-06
BLOCK 4057,1.646437669320128e-06
BLOCK 4000,1.6986600612698012e-14
BLOCK 4001,4.570641799497901e-06
BLOCK 1000,4.447555963325695e-07
BLOCK 1001,4.420724150866588e-07
BLOCK 1002,6.013476434682485e-07
BLOCK 1003,7.97657689254899e-07
BLOCK 1004,1.6883360262524603e-06
BLOCK 1010,2.8518955814882405e-06
BLOCK 1017,1.0756434097566638e-06
BLOCK 1018,7.262589532976184e-07
BLOCK 1019,6.183612011902247e-07
BLOCK 2000,1.0122312126203483e-06
BLOCK 2001,1.2966935592724274e-06
BLOCK 2002,1.3726409581405386e-06
BLOCK 2003,1.274774255774177e-06
BLOCK 2004,5.912573644568361e-07
BLOCK 2005,4.016327100846977e-07
BLOCK 2006,3.786292341900539e-07
BLOCK 2007,4.0055571985129677e-07
BLOCK 2010,5.119420026356249e-07
BLOCK 2011,1.3095307816237871e-06
BLOCK 2012,2.3845410560702653e-06
BLOCK 2026,4.39140575312427e-07
BLOCK 2027,5.114651100399544e-07
BLOCK 2051,1.5949590191681503e-06
BLOCK 2054,1.619218670488593e-06
BLOCK 2055,3.4936264069422955e-06
BLOCK 2056,3.3385484745021315e-06
BLOCK 5030,1.5391756058747765e-16
BLOCK 5031,2.4501044746779036e-13
BLOCK 1012,2.175608000419275e-06
BLOCK 1013,1.0174457928830224e-05
BLOCK 1014,1.261590277653626e-05
BLOCK 1015,2.3464539863164245e-06
BLOCK 1021,5.614617992415599e-07
BLOCK 1022,5.570130306998451e-07
BLOCK 1023,5.248123213296608e-07
BLOCK 1031,4.587438349844013e-07
BLOCK 1032,4.4208530087876106e-07
BLOCK 1034,8.256636933505051e-07
BLOCK 1036,2.5021227299942307e-07
BLOCK 1048,8.272411044756677e-07
BLOCK 1049,7.105967114188447e-07
BLOCK 1050,4.865819715275112e-07
BLOCK 1051,1.5906010820141175e-06
BLOCK 1053,1.4277520878396215e-06
BLOCK 1055,1.2008459300839562e-16
BLOCK 1056,3.7791888590999842e-19
BLOCK 1057,1.5545173062343403e-19
BLOCK 1058,1.5335557378867335e-06
BLOCK 1059,2.185582567775527e-07
BLOCK 1060,5.48480009250326e-06
BLOCK 1061,6.170888359394555e-06
BLOCK 1062,1.2327199135888205e-05
BLOCK 1063,2.5849078765959396e-06
BLOCK 1064,2.3347328888925094e-06
BLOCK 1065,1.8449359266064212e-06
BLOCK 1066,6.528308796041778e-06
BLOCK 1067,1.455834785685638e-06
BLOCK 3039,1.0088525539696365e-05
BLOCK 3040,6.264659381136913e-06
BLOCK 3041,5.590023836343108e-06
BLOCK 3042,7.210987740265283e-06
BLOCK 3043,8.872754429050158e-06
BLOCK 3044,5.156595930459729e-06
BLOCK 3045,8.818268967243174e-06
BLOCK 3046,9.219314522570607e-06
BLOCK 3047,5.4419385227605646e-06
BLOCK 3048,5.420134754239872e-06
BLOCK 3049,1.4455783179317471e-05
BLOCK 3050,6.35729176164814e-06
BLOCK 2059,4.057726538365262e-06
BLOCK 2060,7.934648735979323e-06
BLOCK 2061,1.8290082389347428e-06
BLOCK 2064,5.381100760235941e-06
BLOCK 2014,2.971014850305703e-06
BLOCK 2015,3.5897760453835087e-06
BLOCK 2016,1.3868006054234993e-06
BLOCK 2017,1.7259743590426207e-06
BLOCK 2018,4.572861372722982e-06
BLOCK 2019,1.5928338851910382e-05
BLOCK 2020,7.292824936603402e-05
BLOCK 2021,3.516934059256559e-06
BLOCK 2022,1.9450760179548204e-05
BLOCK 2023,7.08148798649735e-07
BLOCK 2024,1.9939914107975512e-07
BLOCK 3001,2.3896967152414093e-06
BLOCK 3002,2.318930450879158e-06
BLOCK 3003,3.160300551276721e-06
BLOCK 3004,7.5184920334534535e-06
BLOCK 3005,2.8995204385961708e-06
BLOCK 3006,3.119642124020217e-06
BLOCK 3007,3.6630037861684917e-06
BLOCK 3008,1.1922023046335011e-05
BLOCK 3009,1.2181586249906706e-05
BLOCK 3018,9.663312823769573e-07
BLOCK 3019,2.8135422015807973e-06
BLOCK 3020,2.5308592219356823e-07
BLOCK 3021,2.2739715880855134e-07
BLOCK 3022,2.0171067782861958e-07
BLOCK 3023,2.241395962774168e-07
BLOCK 3024,7.906082629512112e-07
BLOCK 3029,4.800160951945846e-07
BLOCK 2030,2.150929815775504e-07
BLOCK 3000,1.5843049467796504e-06
BLOCK 3016,1.7257766301439535e-06
BLOCK 3032,2.5263122185276015e-06
BLOCK 3033,1.4966922045456288e-05
BLOCK 3034,8.037521447981847e-07
BLOCK 3035,1.5443906856257894e-06
BLOCK 3036,8.900796068023295e-12
BLOCK 3037,2.1381412824475718e-11
BLOCK 3038,5.186058045346209e-06
BLOCK 4002,7.466826086646843e-07
BLOCK 4003,7.581165978389376e-07
BLOCK 4004,1.2902024007632e-06
BLOCK 4005,1.0324734051388779e-14
BLOCK 4006,4.764132755458615e-19
BLOCK 4007,1.7065922420842403e-17
BLOCK 4008,9.946613882259727e-08
BLOCK 4009,1.1065223264752627e-07
BLOCK 4010,1.1147768424803022e-07
BLOCK 4011,2.6750951262595933e-07
BLOCK 4012,1.2142290344906924e-07
BLOCK 4013,2.53349370085136e-07
BLOCK 4014,1.2934273448667724e-07
BLOCK 4015,1.1950547062689998e-07
BLOCK 4016,3.651052986773854e-13
BLOCK 4017,1.271780327950676e-07
BLOCK 4018,1.9000008786289897e-12
BLOCK 4019,4.83817554082294e-07
BLOCK 4020,1.334969959467999e-07
BLOCK 4021,4.4911239644032143e-07
BLOCK 4022,1.4247179718628267e-10
BLOCK 4023,7.503025807261218e-07
BLOCK 4024,7.57676390161828e-07
BLOCK 4025,7.180997763618826e-07
BLOCK 4026,8.978859189637303e-07
BLOCK 4027,1.014758131577819e-06
BLOCK 4028,1.0133416001082633e-06
BLOCK 4029,1.0285727887690987e-06
BLOCK 4030,8.808283266208985e-07
BLOCK 4031,1.321395971888794e-06
BLOCK 4032,9.516376553356223e-07
BLOCK 4033,1.4588513613694603e-06
BLOCK 5000,2.0913730708611408e-07
BLOCK 5001,1.9987107000126623e-07
BLOCK 5002,2.0667020369896183e-07
BLOCK 5003,2.1107592001817008e-07
BLOCK 5004,1.9384135508618892e-07
BLOCK 5005,5.0212297141202654e-08
BLOCK 5006,5.974809510606359e-09
BLOCK 5007,1.1267925030091422e-09
BLOCK 5008,9.620556067722877e-11
BLOCK 5009,1.4445766443764987e-10
BLOCK 5010,3.946923575841993e-11
BLOCK 5011,1.452108173876296e-10
BLOCK 5012,3.5053185334737774e-10
BLOCK 5013,3.441563558643143e-11
