,PM10 Cumulative Hazard Index PAC1
BLOCK 1030,9.504191802193191e-23
BLOCK 1033,1.894054139280912e-20
BLOCK 1035,3.9831597997649817e-19
BLOCK 1037,6.753552230853418e-19
BLOCK 1038,1.4777235064170337e-20
BLOCK 2009,1.225460998949769e-22
BLOCK 2013,4.2948437352929444e-18
BLOCK 2008,1.3991662324534238e-22
BLOCK 1009,2.2038190533239336e-30
BLOCK 1016,9.100752620023069e-18
BLOCK 1020,6.327459469243494e-23
BLOCK 1026,1.0803334595361277e-22
BLOCK 1027,1.132677226231938e-19
BLOCK 1028,1.486810725962149e-21
BLOCK 1029,1.9995096421438693e-23
BLOCK 1039,2.2784493784490526e-21
BLOCK 1040,3.7876381465480365e-20
BLOCK 1052,5.567370046256437e-18
BLOCK 1054,7.931211978792197e-18
BLOCK 2025,1.3196468130834305e-20
BLOCK 2028,2.9887300517149905e-20
BLOCK 2029,7.157259014030876e-20
BLOCK 1005,7.306787969153475e-32
BLOCK 1006,2.829222647107076e-31
BLOCK 1007,3.3726391334096556e-38
BLOCK 1008,5.4357955693366335e-34
BLOCK 1011,7.259218333874183e-23
BLOCK 1024,7.204673962936431e-23
BLOCK 1025,6.248471354318699e-23
BLOCK 3010,1.2566975128856508e-29
BLOCK 3011,3.047046749255508e-29
BLOCK 3012,1.3184282771482528e-27
BLOCK 3013,7.582052087640822e-28
BLOCK 3014,1.0874935124407086e-25
BLOCK 3015,1.0433813155108036e-26
BLOCK 3017,8.023278779098797e-25
BLOCK 3025,6.417528299621809e-27
BLOCK 3026,2.851034665614164e-28
BLOCK 3027,2.5786250541202223e-33
BLOCK 3028,2.0595863781963296e-34
BLOCK 3030,5.881353895194839e-31
BLOCK 3031,9.64848853700675e-36
BLOCK 4047,1.0865415836388977e-26
BLOCK 4057,1.826658031571179e-27
BLOCK 4000,3.971085732396426e-41
BLOCK 4001,7.385984146917033e-33
BLOCK 1000,4.3906983173134873e-23
BLOCK 1001,4.508158742563004e-24
BLOCK 1002,2.745798485561971e-26
BLOCK 1003,3.8624619040501347e-28
BLOCK 1004,8.609386478926872e-18
BLOCK 1010,7.631456865757417e-18
BLOCK 1017,1.1256974828415688e-23
BLOCK 1018,3.925554205613951e-24
BLOCK 1019,4.6292192427252264e-23
BLOCK 2000,4.855592201105912e-18
BLOCK 2001,5.918401573434061e-18
BLOCK 2002,6.103818646701361e-18
BLOCK 2003,5.646145753028045e-18
BLOCK 2004,1.7942160078764757e-22
BLOCK 2005,1.271729988359088e-22
BLOCK 2006,1.0553167971776379e-22
BLOCK 2007,1.0252416074322204e-22
BLOCK 2010,1.3024663384217835e-22
BLOCK 2011,5.3309811561118334e-18
BLOCK 2012,3.3806250573465317e-18
BLOCK 2026,4.78731634392968e-22
BLOCK 2027,2.0593366102890975e-22
BLOCK 2051,7.169709097675104e-18
BLOCK 2054,7.003789336863789e-18
BLOCK 2055,3.4217173652531604e-18
BLOCK 2056,6.012339130569894e-18
BLOCK 5030,8.743773862311608e-42
BLOCK 5031,3.1632352319403155e-35
BLOCK 1012,8.766893763726896e-18
BLOCK 1013,2.1491790596727624e-63
BLOCK 1014,2.6944723098066164e-69
BLOCK 1015,8.402725911023119e-18
BLOCK 1021,7.222945818410097e-23
BLOCK 1022,9.185066122915341e-23
BLOCK 1023,1.6860688361697493e-21
BLOCK 1031,5.311697976912429e-22
BLOCK 1032,1.1167760067747417e-21
BLOCK 1034,8.520077123301981e-24
BLOCK 1036,1.112712885004205e-18
BLOCK 1048,4.5258788928876814e-18
BLOCK 1049,3.886786814273295e-23
BLOCK 1050,8.66230316125512e-22
BLOCK 1051,7.654691427597944e-18
BLOCK 1053,8.213588338922305e-18
BLOCK 1055,2.936779240787591e-38
BLOCK 1056,1.0693032238300366e-38
BLOCK 1057,5.5957502809267295e-43
BLOCK 1058,9.320465171174491e-18
BLOCK 1059,6.085777285608591e-19
BLOCK 1060,3.799344861893258e-26
BLOCK 1061,8.237883422293415e-22
BLOCK 1062,1.8451104143009514e-22
BLOCK 1063,5.785188591631705e-20
BLOCK 1064,1.941724469451435e-19
BLOCK 1065,3.2364459046055486e-25
BLOCK 1066,5.544936502183535e-26
BLOCK 1067,3.5325603195584057e-28
BLOCK 3039,1.5290783124285659e-24
BLOCK 3040,5.539923603264494e-25
BLOCK 3041,2.8697606214750984e-25
BLOCK 3042,9.865416327976993e-25
BLOCK 3043,2.271422192671277e-24
BLOCK 3044,1.0727514591342298e-25
BLOCK 3045,8.275152253247516e-28
BLOCK 3046,1.571407500571288e-28
BLOCK 3047,6.068285315181002e-29
BLOCK 3048,3.514479657105585e-25
BLOCK 3049,1.9892678287983237e-23
BLOCK 3050,7.592202781471952e-27
BLOCK 2059,6.426568042112402e-18
BLOCK 2060,8.681479829956487e-18
BLOCK 2061,2.6532473117644038e-18
BLOCK 2064,2.781784729178994e-18
BLOCK 2014,4.727081380683663e-19
BLOCK 2015,2.196792822648283e-18
BLOCK 2016,8.073057501832992e-21
BLOCK 2017,8.560053110378402e-23
BLOCK 2018,5.960592214724935e-21
BLOCK 2019,3.5321012473723784e-56
BLOCK 2020,1.7622346341239384e-205
BLOCK 2021,1.7563464772499157e-20
BLOCK 2022,3.148814079338911e-23
BLOCK 2023,7.681346421556173e-23
BLOCK 2024,6.389209681316163e-23
BLOCK 3001,2.8721280095541135e-24
BLOCK 3002,3.2182707348625397e-24
BLOCK 3003,7.785900402167902e-25
BLOCK 3004,1.9068053335059678e-25
BLOCK 3005,1.1480614280384891e-24
BLOCK 3006,5.91546419905109e-25
BLOCK 3007,3.935323594728725e-26
BLOCK 3008,5.156891064240965e-30
BLOCK 3009,1.993053165454347e-29
BLOCK 3018,9.282591363915166e-25
BLOCK 3019,4.231782474049333e-31
BLOCK 3020,1.3124085906972543e-28
BLOCK 3021,1.3382331850926263e-27
BLOCK 3022,5.322892817538535e-27
BLOCK 3023,3.888926643744027e-26
BLOCK 3024,1.8362728258717468e-27
BLOCK 3029,5.751131939815379e-29
BLOCK 2030,7.839584567670213e-24
BLOCK 3000,2.0524893980777315e-24
BLOCK 3016,2.974205143615331e-25
BLOCK 3032,5.340199827597279e-38
BLOCK 3033,2.630454625830377e-46
BLOCK 3034,9.615110260109874e-28
BLOCK 3035,6.763046012985639e-31
BLOCK 3036,7.825357315610241e-146
BLOCK 3037,5.878200344914379e-159
BLOCK 3038,1.954082700504079e-21
BLOCK 4002,2.016576638648349e-31
BLOCK 4003,1.1701021418248286e-23
BLOCK 4004,8.65597376338777e-24
BLOCK 4005,9.74715416916074e-35
BLOCK 4006,4.836956988309145e-38
BLOCK 4007,4.371433926527124e-35
BLOCK 4008,4.4561172795882264e-23
BLOCK 4009,1.362283911739868e-23
BLOCK 4010,9.7177260944839e-24
BLOCK 4011,3.343523511274482e-24
BLOCK 4012,4.97687671956792e-24
BLOCK 4013,6.935384707072405e-23
BLOCK 4014,1.6942090963799096e-23
BLOCK 4015,2.1839843105512445e-23
BLOCK 4016,1.6091505533257284e-82
BLOCK 4017,1.1976221533799747e-23
BLOCK 4018,4.865596819176757e-30
